gender,age,grade,listened,empathy,fun,concentrated,looked_at,Understood1,Understood2,Understood3,Understood4,Understood5,realizedTB,sum_Ui,TBcond
1,10,4,100,98,100,95,100,7,7,7,7,7,1,35,1
0,10,5,50,30,10,100,100,3,7,5,2,1,1,18,1
0,8,3,100,100,100,100,100,7,7,7,7,7,1,35,1
1,10,4,100,70,90,100,100,4,5,5,4,5,1,23,1
1,8,3,70,80,60,80,90,6,7,6,7,6,1,32,1
1,11,5,60,70,35,47,53,4,5,5,4,3,1,21,1
0,12,6,84,88,48,86,96,4,6,5,6,5,1,26,1
0,12,6,65,80,80,100,80,6,5,5,5,4,1,25,1
0,10,4,100,100,50,50,100,7,7,7,7,7,1,35,1
1,11,5,90,85,60,92,99,5,6,5,5,6,1,27,1
1,12,6,50,50,20,70,100,4,6,4,5,6,1,25,1
1,10,5,95,82,92,96,92,6,7,6,5,6,1,30,1
0,9,3,100,100,0,100,100,4,4,4,4,4,1,20,1
0,10,4,80,90,70,97,78,6,7,6,6,5,1,30,1
0,12,6,100,100,95,100,100,5,6,6,7,6,1,30,1
0,11,5,85,90,80,85,90,5,5,5,4,4,1,23,1
0,9,3,78,93,98,99,100,6,6,7,6,7,1,32,1
1,11,6,78,50,34,100,95,4,5,6,5,7,1,27,1
1,12,6,98,100,99,100,100,7,6,7,6,7,1,33,1
0,12,6,80,60,90,70,95,5,3,4,3,4,2,19,1
1,12,6,90,90,90,90,95,5,6,4,6,4,1,25,1
0,11,5,85,70,90,80,95,6,5,6,5,4,1,26,1
0,9,3,87,56,100,97,91,4,2,3,3,4,1,16,1
1,9,3,100,80,95,95,100,6,6,5,6,6,1,29,1
0,10,4,90,100,100,90,89,6,7,7,6,4,1,30,1
1,10,4,97,90,95,95,95,7,7,7,7,6,1,34,1
1,11,5,90,85,70,100,95,7,7,7,7,7,1,35,1
1,11,5,100,90,95,100,100,5,6,6,6,6,1,29,1
0,12,6,85,70,65,90,100,6,6,7,6,6,1,31,1
1,12,6,96,89,85,99,100,5,5,4,4,5,2,23,1
0,10,5,98,100,100,100,95,6,6,6,5,6,1,29,1
1,9,3,80,100,90,100,100,7,6,6,6,5,2,30,1
1,9,3,60,80,100,100,100,6,6,6,6,6,1,30,1
1,11,6,90,95,70,100,100,6,7,5,6,5,1,29,1
0,10,4,85,80,60,75,65,5,6,6,6,5,1,28,1
1,10,4,95,80,97,95,95,6,5,7,5,4,1,27,1
0,10,4,99,80,100,90,100,6,6,6,7,5,2,30,1
1,11,6,50,20,10,80,80,5,5,4,3,4,1,21,1
0,10,4,90,70,80,100,90,5,7,7,7,5,2,31,1
0,10,4,80,80,50,70,75,5,6,5,5,5,1,26,0
1,12,6,95,80,80,100,80,6,5,5,6,5,1,27,0
0,11,6,95,100,80,100,100,6,7,7,7,6,1,33,0
1,9,3,95,100,100,100,100,6,7,6,7,7,1,33,0
1,10,4,90,89,80,90,100,6,6,5,5,4,1,26,0
0,11,5,70,60,40,90,90,6,7,6,3,3,1,25,0
0,9,3,93,87,96,79,84,5,6,5,4,4,1,24,0
0,9,3,78,100,100,95,95,7,6,6,6,7,1,32,0
0,10,4,79,62,67,56,74,4,6,5,4,5,1,24,0
1,10,4,90,100,99,100,100,7,7,7,7,7,1,35,0
0,10,4,90,75,50,100,80,4,6,5,2,5,1,22,0
0,12,6,70,80,75,70,85,5,3,4,3,3,1,18,0
1,9,3,100,100,90,95,100,7,7,7,6,7,1,34,0
1,10,4,55,35,75,35,45,3,4,4,3,3,1,17,0
0,12,6,60,50,50,60,90,5,5,6,5,6,1,27,0
1,9,3,90,100,100,100,100,7,7,7,7,7,1,35,0
1,9,4,100,100,95,100,100,6,7,7,6,6,1,32,0
0,11,5,95,80,90,50,100,6,7,6,5,6,1,30,0
0,11,5,85,70,88,70,90,6,7,5,7,5,1,30,0
0,11,5,90,70,50,60,100,5,5,5,6,6,1,27,0
0,9,3,100,100,100,100,100,7,7,7,7,6,1,34,0
0,10,4,100,100,100,100,100,6,7,7,7,6,1,33,0
1,12,6,90,85,100,100,90,6,5,6,6,4,1,27,0
0,9,3,100,100,100,100,100,7,6,7,7,7,1,34,0
1,11,5,100,100,95,95,100,7,6,4,4,5,1,26,0
0,11,5,99,100,100,100,100,7,7,7,7,7,1,35,0
1,10,4,100,100,100,99,100,7,6,7,6,6,1,32,0
0,12,6,90,90,84,92,100,6,5,5,7,5,1,28,0
1,10,4,90,80,80,100,100,6,5,6,5,6,1,28,0
0,9,3,97,87,100,85,100,5,7,3,4,2,1,21,0
0,9,3,87,84,89,91,96,4,5,4,5,3,1,21,0
1,9,3,94,88,90,91,98,6,5,5,6,6,1,28,0
0,11,6,80,95,80,97,100,6,5,6,5,5,1,27,0
1,12,6,35,35,42,81,100,3,3,4,3,3,1,16,0
1,11,5,80,90,100,95,90,6,6,7,6,6,1,31,0
1,9,3,100,90,100,85,90,5,5,7,6,5,1,28,0
0,11,5,85,90,89,85,100,6,5,6,6,6,1,29,0
0,8,3,50,80,100,100,100,7,6,7,5,1,1,26,0
